หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว็บไซต์,
2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,8/5 หมู่ที่ 14 ตำบลท่าช้าง อำเภอบางกล่ำ สงขลา,90110,0-7480-0111,0-7480-1286,www.ss.co.th,
3BBIF,กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต สามบีบี,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,เลขที่ 175 อาคารสาธรซิตี้ทาวเวอร์ ชั้น 7 ชั้น 21 และ ชั้น 26 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร,10120,0-2674-6488,0-2679-5996,https://www.3bb-if.com,
88TH,บริษัท 88(ไทยแลนด์) จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,เลขที่ 48 ตรอก/ซอย สังคมสงเคราะห์ 8 ตำบล/แขวง ลาดพร้าว อำเภอ/เขต ลาดพร้าว กรุงเทพมหานคร,10230,0-2326-8888,-,www.88thailand.co.th,
A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,999 ถนนประดิษฐ์มนูธรรม แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร,10310,"0-2798-9999, 1797",0-2798-9990,http://www.areeya.co.th,
A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"เลขที่ 199 อาคาร เอส โอเอซิส ชั้นที่ 12 ห้องเลขที่ 1210, 1211, 1212 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร",10900,0-2026-3512,0-2026-3513,www.assetfive.co.th,
AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,55/2 หมู่ที่ 2 ถนนพระราม 2 ตำบลบางกระเจ้า อำเภอเมืองสมุทรสาคร สมุทรสาคร,74000,0-3484-5575-87,0-3484-5546,www.asianalliance.co.th,
AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,222 ท่าอากาศยานดอนเมืองอาคารส่วนกลางชั้น 3 ห้อง 3200 ถ.วิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร,10210,0-2562-5700,0-2562-5705,http://www.aavplc.com,
ABM,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),mai,ทรัพยากร,-,เลขที่ 99/9 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร,10150,0-2415-0054,0-2415-1102,www.asiabiomass.com,
ACAP,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,เลขที่ 486 อาคาร E 2 ชั้นที่ 2 ถนนอ่อนนุช แขวงอ่อนนุช เขตสวนหลวง กรุงเทพมหานคร,10250,0-2666-9488,0-2666-9488 Press 9,www.acap.co.th,
ACC,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,944 อาคารมิตรทาวน์ ออฟฟิศ ทาวน์เวอร์ ชั้น 16 ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร,10330,0-2219-1642,0-2219-1662,http://acc-plc.com,
ACE,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 140/6 อาคารไอทีเอฟ ทาวเวอร์ ชั้น 7 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร,10500,0-2233-2559,-,http://www.ace-energy.co.th,
ACG,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,เลขที่ 1111 หมู่ 1 ถนนมะลิวัลย์ ตำบลบ้านทุ่ม อำเภอเมือง ขอนแก่น,40000,0-4330-6444,0-4330-6448,www.autocorpgroup.com,
ADB,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,252 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ,10280,0-2709-4040-9,0-2323-9195,http://www.adb.co.th,
ADD,บริษัท แอดเทค ฮับ จำกัด (มหาชน),mai,บริการ,-,เลขที่ 1 อาคารเอ็มไพร์ทาวเวอร์ ชั้น 41 ห้องเลขที่ 4106-7 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กรุงเทพมหานคร,10120,0-2835-3957-8,0-2835-3959,https://www.addtechhub.com,
ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,"อาคารเอไอเอส ทาวเวอร์ 1, 414 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร",10400,0-2029-5000,0-2029-5165,http://investor.ais.co.th,
ADVICE,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),SET,บริการ,พาณิชย์,เลขที่ 74/1 หมู่ที่ 1 ตำบลท่าอิฐ อำเภอปากเกร็ด นนทบุรี,11120,0-2908-8888,-,www.advicepcl.co.th,
AE,บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 2106 อาคารแฟนทรี 4 ชั้น 4 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,10260,0-2741-5700,0-2741-5724,www.aeu.co.th,
AEONTS,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารเอ็กเชน ทาวเวอร์ ชั้น 27, 388 ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร",10110,"0-2665-0123,0-2302-4400",-,www.aeon.co.th,
AF,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,เลขที่ 188 อาคารสปริง ทาวเวอร์ ชั้น 12A ยูนิตที่ 6-10 ถนนพญาไท แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร,10400,0-2657-6222,"0-2657-6244,0-2657-6245",http://www.airafactoring.co.th,
AFC,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,"อาคารวอลล์สตรีททาวเวอร์ ชั้น 27, 33/133-136 ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร",10500,0-2632-7071-85,0-2236-1982,www.asiafiber.com,
AGE,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 99/9 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร,10150,0-2894-0088,"0-2894-0044, 0-2894-4267",www.age.co.th,
AH,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,99 หมู่ 1 นิคมอุตสาหกรรมไฮเทค ตำบลบ้านเลน อำเภอบางปะอิน พระนครศรีอยุธยา,13160,0-3535-0880,0-3535-0881,www.aapico.com,
AHC,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),SET,บริการ,การแพทย์,68/3 หมู่ 2 ถนนพระยาสัจจา ตำบลบ้านสวน อำเภอเมือง ชลบุรี,20000,"0-3827-3840-7, 0-3879-2500, 0-3879-2555",0-3827-3848,www.aikchol.com,
AI,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,254 ถนนเสรีไทย แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร,10230,"0-2517-1451, 0-2517-1026, 0-2517-9447-8",0-2517-1465,http://www.asianinsulators.com,
AIE,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 55/2 หมู่ที่ 8 ถนนเศรษฐกิจ 1 ตำบลคลองมะเดื่อ อำเภอกระทุ่มแบน สมุทรสาคร,74110,0-3487-7485-8,0-3487-7491-2,www.aienergy.co.th,
